Round, Player 1, Player 2, Player 3
Round 1, 0, 0, 46
Round 2, 0, 106, 46
Round 3, 0, 209, 46
Round 4, 55, 209, 46
Round 5, 55, 244, 46
Round 6, 69, 244, 46
Round 7, 69, 244, 251
Round 8, 69, 244, 314
Round 9, 82, 244, 314
Round 10, 82, 244, 523
Winner, Alp
Round, Player 1, Player 2, Player 3
Round 1, 0, 201, 0
Round 2, 0, 268, 0
Round 3, 0, 506, 0
Winner, Alp
Round, Player 1, Player 2, Player 3
Round 1, 141, 0, 0
Round 2, 141, 157, 0
Round 3, 141, 157, 117
Round 4, 141, 157, 153
Round 5, 306, 157, 153
Round 6, 306, 157, 242
Round 7, 306, 278, 242
Round 8, 306, 350, 242
Round 9, 355, 350, 242
Round 10, 355, 376, 242
Round 11, 355, 450, 242
Round 12, 355, 450, 374
Round 13, 355, 542, 374
Winner, Yusuf
Round, Player 1, Player 2, Player 3
Round 1, 0, 93, 0
Round 2, 108, 93, 0
Round 3, 277, 93, 0
Round 4, 277, 93, 80
Round 5, 277, 186, 80
Round 6, 277, 297, 80
Round 7, 277, 390, 80
Round 8, 277, 390, 234
Round 9, 375, 390, 234
Round 10, 485, 390, 234
Round 11, 485, 450, 234
Round 12, 485, 560, 234
Winner, Yusuf
Round, Player 1, Player 2, Player 3
Round 1, 44, 0, 0
Round, Player 1, Player 2, Player 3
Round 1, 0, 69, 0
Round, Player 1, Player 2, Player 3
Round 1, 92, 0, 0
Round 2, 92, 0, 47
Round 3, 92, 0, 122
Round 4, 92, 120, 122
Round 5, 92, 276, 122
Round 6, 158, 276, 122
Round 7, 283, 276, 122
Round 8, 391, 276, 122
Round 9, 391, 427, 122
Round 10, 391, 534, 122
Winner, Yusuf
Round, Player 1, Player 2, Player 3
Round 1, 0, 158, 0
Round 2, 0, 158, 94
Round 3, 66, 158, 94
Round 4, 66, 261, 94
Round 5, 177, 261, 94
Round 6, 245, 261, 94
Round 7, 245, 261, 174
Round 8, 375, 261, 174
Round 9, 375, 261, 347
Round 10, 493, 261, 347
Round 11, 493, 359, 347
Round 12, 493, 359, 404
Round 13, 493, 359, 471
Round 14, 493, 432, 471
Round 15, 677, 432, 471
Winner, Can
Round, Player 1, Player 2, Player 3
Round 1, 0, 90, 0
Round 2, 48, 90, 0
Round 3, 116, 90, 0
Round 4, 116, 90, 87
Round 5, 259, 90, 87
Round 6, 348, 90, 87
Round 7, 448, 90, 87
Round 8, 515, 90, 87
Winner, Can
Round, Player 1, Player 2, Player 3
Round 1, 0, 0, 68
Round 2, 0, 0, 132
Round 3, 61, 0, 132
Round 4, 61, 129, 132
Round 5, 61, 129, 257
Round 6, 61, 129, 346
Round 7, 263, 129, 346
Round 8, 336, 129, 346
Round 9, 336, 194, 346
Round 10, 505, 194, 346
Winner, Can
Round, Player 1, Player 2, Player 3
Round 1, 137, 0, 0
Round 2, 137, 159, 0
Round 3, 292, 159, 0
Round 4, 292, 224, 0
Round 5, 292, 379, 0
Round 6, 292, 379, 171
Round 7, 292, 379, 270
Round 8, 292, 379, 372
Round 9, 292, 379, 444
Round 10, 292, 379, 505
Winner, Alp
Round, Player 1, Player 2, Player 3
